text,true_label,pred_label
"Even in the thickest undergrowth you were whipped by the water as it rushed through. But the lightning stopped flashing, its fiery beams no longer flamed their way through the tops of the trees; the thunder moved away and there was only a distant rumbling to be heard before it was entirely silent. Now the rain became gentler.",A1-A2,B1-B2
"It is good against the Gout; it comforts the heart and strengthens the memory; and the flowers, put into a Glasse, close stopt, and set into ane hill of ants for a month, then take it out, and you will find a liquor which comes from the flowers, which keep in a vial; it is good, ill or well, and whether man or woman."" And then, in the minister's own hand, was added: ""Likewise for sprains, rub it in; and for the cholic, a great spooneful in the hour.""",A1-A2,C1-C2
"The author said that studying Venus is a worthy pursuit despite the dangers it presents because it can help the Earth is something was top happen. Also, on the planet surface,temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater than what we experience in life as it says it in paragragh 3, line 3-6.This pargragh prove that the author supported his answer by saying that Earth and Venus are not the same. That the atmosperic pressure is 90 times greater than what we have experince on our planet which is Earth. 90 times greater is pretty dangerous for us human to go to Venus.Therefore, the conditions are far more extreme than any humans encounter on Earth; such as an environment would crush even a submarine accustomed to diving to the deepest parts of our ocean and would liquefy many metals as it says it on paragragh 3, line 6-9. This paragragh also prove that it is dangerous but still great to pursuit despite the dangers it presents. Also, notable, Venus has the hottest surface temperature of any planets in our solar systems, even though Mercury is closer to our sun. The other reason to why it was a great experience for them is that "" The austronomers are fascinated by Venus because it may well once have been the most Earth-like planets on our solar system."" As it says it on pararagragh 4, line 2-7. Futhermore, recall that Venus can sometimes be our nearest option for a planetary visit, a crutial consideration given the long time frames of space travel. The other dangerous part of the trip is that they are sending human to Venus and is allowing the scientists to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling Venusian landscape. Just as "" Our jet airplanes travel at a higher altitude to fly over many storms, a vihicles hovering over Venus would avoid the unfriendly ground conditions by staying up and out of their way."" As it says it on paragragh 5, line 4-8. The reason to why the people is going to space is because they are making sure that everything is safe and that there won't be any problem in the future if something really happens and people wont get to safe the Earth on times if their werent any researchers or any types of scientists. This essay evaluted on how well the author supports his ideas, because striving to meet the challenge presented by Venus has value, not only because of the insight to be gained the planet itself, but also because human curiosity will likely lead us into many equally intimidating endeavors. Our travels on Earth and beyond should not be limited by dangers and doubt but should be expanded to meet the very edges of imagination and innovation.",B1-B2,A1-A2
"From his garden, Mr. Collins would have led them round his two meadows; but the ladies, not having shoes to encounter the remains of a white frost, turned back; and while Sir William accompanied him, Charlotte took her sister and friend over the house, extremely well pleased, probably, to have the opportunity of showing it without her husband's help.",B1-B2,C1-C2
"Driverless cars The point that the article is making is that should we have cars that can drive themselfes, in my opinoin i would say no because it would cause so much disstortion and everthing would be in a heave of trouble. What we would be doing is we would be taking away jobs for people that live off of driving people places, or we would be spending so much money trying to make these cars, and also what would happen when the went out of control and no one could stop them then what would we do. The idea of people losing jobs dosent sound right for me because i know how frustrating it is to lose many jobs and it isn´t easy. And something else what would stop those people who are mad and ticked at the idea that they just lost their jobs to a bunch of robots, that wont go so well because they will probably start rioting in the streets and that will just cause more of a problem´s for everone. And also you would have to conceder on how much money they would have to spend to keep making those types of cars, it will probably cost millions of dollars for just one state. So they would be spending more money on making the cars than they would be getting so it seems that it would be a waste of time on what this idea has in store. What other problems would happen if something went wrong with these cars like to say if someone missed up with the programming it could cause a lot of problems across the united states because so many car crashes would be happening, and that would bring so much panic through out the nation. so that is another reason why not to. So what is the article stating is if we should have cars that control themselfs. there is to many if´s for me to say that we should like i can see that there are good parts to this like to say that we wouldn´t spend so much many on gas and it would be safer for the most part. But my answer is still no because we cant alwas y just think that since it is technology we are safe will that not alwas the case and we have to learn that. So no we shouldn´t have cars that drive themselves.",B1-B2,A1-A2
"Dear Senator, What do you think about descarding electorial voting?,do you feel that it would be best to keep it this way,or do you think there should be a change? What you think i dont know. But In my opinion i recomend that the electorial voting should not be changed. One of my main reasons for this is electorial voting has mostlikely been going on for decades,and why would you deside to change this now? This act could possibly throw some important things off track. For example if you were to go fourth with this act you could possibly risk people selecting the wrong president and his electors,which then could risk people to lose there jobs,homes,end up homeless,etc this could be avoided if you keep things how they are and not end up messing things up changing electoral voting. Richard Nixon,Jimmy Carter,and Bob Dole feel differently with my reason,they all feel that you should abolishe the electoral voting,they thaat sence Al Gore lost the presedency but won the popular vote they think that people are being cheated out of there vote and its not fair. I disagree with them because the senators have a say in who is going to win the election and be president all at the end,so why worry. In conclusion people should not worry about what happens with the House Of Represintative,or the election,i'd tell folks to leave that up to the senator to decide because there people like us,and im sure they wouldent want someone causing trouble in presedency.",A1-A2,B1-B2
"Frank put the sack carefully to one side, then helped his brother up to the top of the tower. After that he tied the treasure sack to his belt, in order that he might have the full use of his two hands in descending the precarious ladder. They were so excited by their momentous discovery, by the knowledge that all the days of fruitless search had now ended, that they descended the ladder at break-neck speed.",A1-A2,C1-C2
"Luke had many reasons to join the program. He wanted to help countries recover their food supplies, animals, and more. The text read ,""It was 1945, World War 2 was over in Europe, and many countries were left in the ruins. To help these countries recover their food supplies, animals, and more, 44 nations joined together to form UNRRA ( the United Nations Relief and Rehabilitation Administration). It took some ti e to cross from place to place to help out these countries but it was no problem for the team. The passege read,"" It took about two weeks to cross the Alantic Ocean from the easter coast of the United States and a month to get to china."" Even tho it took time to cross Luke had things to keep him busy. The author wrote,"" Caring for the animals during the crossing kept Luke busy. They had to be fed and watered two or three times a day. Bales of hay and bags of oats had to be pulled up from the lower holds of the ship. Stalls had to be cleaned."" Luke incountered many different chalenges fduring the crossings. The text read,"" Helping out on his aunt Katie's farm as a boy had prepared Luke for hard work, but not for the dangers at sea."" Luke was a hard worker on the boats and he did his duties. On his second trip, he got hurt and had to take it easy for a couple days. The text read,"" One rainy night after making his hourly report to animals every hour he slid down a slippery ladder on his backside. A small strip of metal along the edge stopped his slide keeping him from flying overboard into the dark Atlantic. He was happy to be alive but he couldn't work for a couple of days because of cracked ribs."" Even after he got hurt he still stayed with the team. I think he was a very hard working team mate and he cared about other living things.",A1-A2,B1-B2
"when no one buys cars because no one needs them anymore?Their cars have driven more than half a million miles without a crash.Let’s begin by looking at which companies are making computer-driven cars. Originally, many futurists believed the key to developing self-driving cars someday wasn’t so much smarter cars as smarter roads. For example, in the late 1950s. He believes such cars would fundamentally change the world. Google has had cars that could drive independently under specific conditions since 2009. The car read the positive and negative polarity as messages in binary code. These smart-road systems worked surprisingly well, but they required massive upgrades to existing roads, something that was simply too expensive to be practical. Toyota Prius uses position-estimating sensors on the left rear wheel, a rotating sensor on the roof, a video camera mounted near the rearview mirror, four automotive radar sensors, a GPS receiver, and an inertial motion sensor.The combination of all this input is necessary for the driverless car to mimic the skill of a human at the wheel.Antilock brakes and driver assistance still seem a long way from the dream of calling a driverless cab to take us wherever we desire, but Sebastian Thrun, founder of he Google Car project, believes that the technology has finally begun to catch up to the dream. “There was no way, before 2000,",A1-A2,B1-B2
"Dear senator i think that the electoral collages  should stay because .With out the the electoral college we could not have a party that is the tie breaker. So then we could not have a president .and they all so vote for the ''president and vice president all 538 electors but to win the vote a party must have 270 of the votes to win ''.and to have equal there are 2 senators and one member of the House of Representatives. But a electors are chosen by the candidate's political partys  by law .In a certan way  and then be given a responsibilaties . And on every first monday in november the people vote for the prisedent that you want to win. but you are voting for the candidates electors  but each state has a plathora of electorals like texas has 38 electors and californa has 55 and florida has 29 so does new york they are given more because the more populatina a state has the mor electorals you can have . and one other good reason that electoral college is more sofishint way then popular vote because "" the winning candidate shares the popular vote and people starte to bicker about how to share it . The large states  restored a good porshine of the weight in the political balances because the larger states have a bigger population so for example Obama got 29 elactoral votes  and the person who won would get 3 extera elactoral votes . but it is easeyer for the larger states to get attention from presidentail candidates in the campianes than the smaller ones because of how many larger ones have more electores vote then the other smaller ones.",B1-B2,A1-A2
