model,split_key,train_size,f1_macro
Majority Class,sentiment_60k,60760,0.03571428571428571
TF-IDF + LogReg,sentiment_1k,1000,0.6710775211813252
TF-IDF + LogReg,sentiment_5k,5000,0.8930845939769464
TF-IDF + LogReg,sentiment_10k,10000,0.9211162188401488
TF-IDF + LogReg,sentiment_30k,30000,0.9400642805180094
TF-IDF + LogReg,sentiment_60k,60760,0.9442615531525617
TF-IDF + SVC,sentiment_1k,1000,0.7199530716205518
TF-IDF + SVC,sentiment_5k,5000,0.9147627915421473
TF-IDF + SVC,sentiment_10k,10000,0.9345207570507978
TF-IDF + SVC,sentiment_30k,30000,0.9443255711014338
TF-IDF + SVC,sentiment_60k,60760,0.9491473788379753
TF-IDF + XGBoost,sentiment_1k,1000,0.5964178096860959
TF-IDF + XGBoost,sentiment_5k,5000,0.8840909650039074
TF-IDF + XGBoost,sentiment_10k,10000,0.9202360871990648
TF-IDF + XGBoost,sentiment_30k,30000,0.9347436477073217
TF-IDF + XGBoost,sentiment_60k,60760,0.9390171089325667
